attraction_id,nama,kota,id_kota,provinsi,category,total_review,total_rating,img,longitude,latitude,link_detail,adult_price,child_price
186,Jessica Water Park,Samarinda,173,East Kalimantan,Others,13,4.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/5b/86/cb/jessica-water-park.jpg?w=500&h=-1&s=1,117.1133943,-0.5415779,https://www.tripadvisor.com/Attraction_Review-g317102-d3626538-Reviews-Jessica_Water_Park-Samarinda_East_Kalimantan_Kalimantan.html,80000,55000
284,Suroboyo Carnival Park,Surabaya,184,Jawa Timur,Others,198,4.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/a0/2e/a2/suroboyo-carnival-night.jpg?w=500&h=-1&s=1,112.7332081,-7.3445104,https://www.tripadvisor.com/Attraction_Review-g297715-d6948995-Reviews-Suroboyo_Carnival_Park-Surabaya_East_Java_Java.html,100000,75000
494,Suroboyo Carnival Park,Surabaya,184,Jawa Timur,Others,198,4.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/a0/2e/a2/suroboyo-carnival-night.jpg?w=500&h=-1&s=1,112.7332081,-7.3445104,https://www.tripadvisor.com/Attraction_Review-g297715-d6948995-Reviews-Suroboyo_Carnival_Park-Surabaya_East_Java_Java.html,80000,55000
692,Gunung Padang Megalithic Site,Kabupaten Cianjur,60,Jawa Barat,Others,95,4.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/07/fe/e0/king-s-resting-stones.jpg?w=500&h=400&s=1,107.0562707,-6.9939564,https://www.tripadvisor.com/Attraction_Review-g1006216-d3949163-Reviews-Gunung_Padang_Megalithic_Site-Cianjur_West_Java_Java.html,120000,95000
370,Cangkuang Temple,Kabupaten Garut,63,Jawa Barat,Others,76,3.5 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/24/31/8a/candi-cangkuang.jpg?w=500&h=-1&s=1,107.9197295,-7.1010384,https://www.tripadvisor.com/Attraction_Review-g1137840-d3217750-Reviews-Cangkuang_Temple-Garut_West_Java_Java.html,90000,65000
663,Sukuh Temple,Kabupaten Karanganyar,71,Jawa Tengah,Others,349,4.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/95/4f/11/sukuh-temple.jpg?w=500&h=400&s=1,111.1315371,-7.6273364,https://www.tripadvisor.com/Attraction_Review-g297713-d451327-Reviews-Sukuh_Temple-Solo_Central_Java_Java.html,120000,95000
1161,Gedong Temple,Kabupaten Semarang,85,Jawa Tengah,Others,3,4.5 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/0f/23/63/gedong-temple.jpg?w=500&h=-1&s=1,110.3420868,-7.2099356,https://www.tripadvisor.com/Attraction_Review-g297724-d9699778-Reviews-Gedong_Temple-Jambi_Jambi_Province_Sumatra.html,110000,85000
1148,Muaro Jambi Temple Complex,Muaro Jambi,158,Jambi,Others,138,4.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/f7/d4/29/kompleks-candi-muaro.jpg?w=500&h=-1&s=1,103.6670838,-1.4779213,https://www.tripadvisor.com/Attraction_Review-g297724-d3219771-Reviews-Muaro_Jambi_Temple_Complex-Jambi_Jambi_Province_Sumatra.html,100000,75000
1162,Candi Tinggi,Muaro Jambi,158,Jambi,Others,2,4.5 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/50/69/c4/reruntuhan-candi-tinggi.jpg?w=400&h=-1&s=1,103.6686896,-1.4759543,https://www.tripadvisor.com/Attraction_Review-g297724-d9697562-Reviews-Candi_Tinggi-Jambi_Jambi_Province_Sumatra.html,60000,35000
1173,Candi Kedaton,Muaro Jambi,158,Jambi,Others,None,None,None,103.644153,-1.4776888,https://www.tripadvisor.com/Attraction_Review-g297724-d9697561-Reviews-Candi_Kedaton-Jambi_Jambi_Province_Sumatra.html,70000,45000
633,Supermal Karawaci,Kabupaten Tangerang,96,Banten,Others,241,4.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/62/a7/e8/supermal-karawaci.jpg?w=500&h=-1&s=1,106.6090069,-6.2278055,https://www.tripadvisor.com/Attraction_Review-g1493703-d6494438-Reviews-Supermal_Karawaci-Tangerang_Banten_Province_Java.html,110000,85000
242,Jakarta Aquarium & Safari,Kota Jakarta Barat,120,Daerah Khusus Ibukota Jakarta,Others,644,4.5 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/d4/e8/4b/ray-pool-at-jakarta-aquarium.jpg?w=500&h=400&s=1,106.7900112,-6.174899,https://www.tripadvisor.com/Attraction_Review-g294229-d11667626-Reviews-Jakarta_Aquarium_Safari-Jakarta_Java.html,120000,95000
175,Villa Isola,Bandung,8,West Java,Others,79,4.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/43/74/72/photo1jpg.jpg?w=500&h=-1&s=1,107.5943366,-6.8612394,https://www.tripadvisor.com/Attraction_Review-g297704-d1182958-Reviews-Villa_Isola-Bandung_West_Java_Java.html,70000,45000
434,Pagaruyung Palace,Kabupaten Tanah Datar,95,Sumatera Barat,Others,365,4.5 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/75/7b/54/tampak-depan.jpg?w=500&h=-1&s=1,100.6214049,-0.4712964,https://www.tripadvisor.com/Attraction_Review-g297723-d447115-Reviews-Pagaruyung_Palace-Bukittinggi_West_Sumatra_Sumatra.html,60000,35000
1175,Pagaruyung Palace,Kabupaten Tanah Datar,95,Sumatera Barat,Others,365,4.5 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/75/7b/54/tampak-depan.jpg?w=500&h=-1&s=1,100.6214049,-0.4712964,https://www.tripadvisor.com/Attraction_Review-g297723-d447115-Reviews-Pagaruyung_Palace-Bukittinggi_West_Sumatra_Sumatra.html,60000,35000
155,Gedung Sate,Kota Bandung,109,Jawa Barat,Others,527,4.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/ca/76/1e/frontage.jpg?w=500&h=-1&s=1,107.6186961,-6.9024642,https://www.tripadvisor.com/Attraction_Review-g297704-d1190151-Reviews-Gedung_Sate-Bandung_West_Java_Java.html,70000,45000
917,Fort Marlborough,Kota Bengkulu,115,Bengkulu,Others,215,4.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/76/42/7b/fort-marlborough.jpg?w=500&h=400&s=1,102.2516757,-3.787323,https://www.tripadvisor.com/Attraction_Review-g1472388-d2310922-Reviews-Fort_Marlborough-Bengkulu_Bengkulu_Province_Sumatra.html,60000,35000
254,Gambir Train Station,Kota Jakarta Pusat,121,Daerah Khusus Ibukota Jakarta,Others,952,4.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/2c/23/8c/useful-train-station.jpg?w=500&h=-1&s=1,106.8305901,-6.1765651,https://www.tripadvisor.com/Attraction_Review-g294229-d7174249-Reviews-Gambir_Train_Station-Jakarta_Java.html,120000,95000
1115,Lawang Sewu Building,Kota Semarang,137,Jawa Tengah,Others,"1,794",4.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/75/9f/a8/2018-02-02-01-34-02-largejpg.jpg?w=500&h=400&s=1,110.4108019,-6.9840907,https://www.tripadvisor.com/Attraction_Review-g297712-d379332-Reviews-Lawang_Sewu_Building-Semarang_Central_Java_Java.html,120000,95000
1138,Marabunta Building,Kota Semarang,137,Jawa Tengah,Others,35,4.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/2d/b0/17/gedung-marabunta.jpg?w=500&h=400&s=1,110.429973,-6.9667354,https://www.tripadvisor.com/Attraction_Review-g297712-d3433077-Reviews-Marabunta_Building-Semarang_Central_Java_Java.html,120000,95000
1134,Old Semarang Post Office,Semarang,174,Central Java,Others,112,4.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/fe/f7/f4/kantor-pos-lama-semarang.jpg?w=500&h=-1&s=1,110.4381254,-7.0051453,https://www.tripadvisor.com/Attraction_Review-g297712-d3398744-Reviews-Old_Semarang_Post_Office-Semarang_Central_Java_Java.html,70000,45000
265,Gelora Bung Karno Stadium,Kota Jakarta Pusat,121,Daerah Khusus Ibukota Jakarta,Others,272,4.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/95/c5/69/20160608-154922-largejpg.jpg?w=500&h=400&s=1,106.8017969,-6.2185701,https://www.tripadvisor.com/Attraction_Review-g294229-d2485738-Reviews-Gelora_Bung_Karno_Stadium-Jakarta_Java.html,110000,85000
810,Gelora Sriwijaya Stadium,Kota Palembang,134,Sumatera Selatan,Others,8,4.5 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/f9/54/da/img-20180425-wa0033-largejpg.jpg?w=500&h=-1&s=1,104.7891399,-3.021418,https://www.tripadvisor.com/Attraction_Review-g608501-d14202975-Reviews-Gelora_Sriwijaya_Stadium-Palembang_South_Sumatra_Sumatra.html,80000,55000
156,NuArt Sculpture Park,Bandung,8,Jawa Barat,Others,227,4.5 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/52/25/cb/nuart-sculpture-park.jpg?w=500&h=-1&s=1,107.5722883,-6.8777,https://www.tripadvisor.com/Attraction_Review-g297704-d3801500-Reviews-NuArt_Sculpture_Park-Bandung_West_Java_Java.html,110000,85000
1031,MÉTIS Gallery & Boutiques,Kabupaten Badung,47,Bali,Others,53,4.5 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/59/2f/57/gallery-interior.jpg?w=500&h=400&s=1,115.1619127,-8.6719562,https://www.tripadvisor.com/Attraction_Review-g297694-d10442207-Reviews-METIS_Gallery_Boutiques-Denpasar_Bali.html,100000,75000
320,Pendhapa Art Space,Kabupaten Bantul,53,Daerah Istimewa Yogyakarta,Others,66,5.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/95/69/43/photo0jpg.jpg?w=500&h=400&s=1,110.3574046,-7.8285273,https://www.tripadvisor.com/Attraction_Review-g2304084-d10298176-Reviews-Pendhapa_Art_Space-Bantul_Yogyakarta_Region_Java.html,120000,95000
888,Pendhapa Art Space,Kabupaten Bantul,53,Daerah Istimewa Yogyakarta,Others,66,5.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/95/69/43/photo0jpg.jpg?w=500&h=400&s=1,110.3574046,-7.8285273,https://www.tripadvisor.com/Attraction_Review-g2304084-d10298176-Reviews-Pendhapa_Art_Space-Bantul_Yogyakarta_Region_Java.html,60000,35000
896,Gajah Gallery Yogyakarta and Yogya Art Lab,Kabupaten Bantul,53,Daerah Istimewa Yogyakarta,Others,6,5.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/e4/bd/26/supernatural-19-may-19.jpg?w=500&h=400&s=1,110.3466069,-7.8242046,https://www.tripadvisor.com/Attraction_Review-g2304084-d12948847-Reviews-Gajah_Gallery_Yogyakarta_and_Yogya_Art_Lab-Bantul_Yogyakarta_Region_Java.html,120000,95000
559,Omah Budaya Slamet,Kota Batu,113,Jawa Timur,Others,4,5.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/be/dd/dd/bancakan-at-omah-budaya.jpg?w=500&h=400&s=1,112.5343266,-7.8593095,https://www.tripadvisor.com/Attraction_Review-g1237079-d3377122-Reviews-Omah_Budaya_Slamet-Batu_East_Java_Java.html,90000,65000
809,Zainal Songket,Kota Jakarta Pusat,121,Daerah Khusus Ibukota Jakarta,Others,13,4.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/43/77/b2/ta-img-20180307-143547.jpg?w=500&h=-1&s=1,106.8199483,-6.1918749,https://www.tripadvisor.com/Attraction_Review-g608501-d10284837-Reviews-Zainal_Songket-Palembang_South_Sumatra_Sumatra.html,60000,35000
777,Huma Handep,Kota Palangka Raya,133,Kalimantan Tengah,Others,None,None,None,113.9160646,-2.2215481,https://www.tripadvisor.com/Attraction_Review-g303951-d25439502-Reviews-Huma_Handep-Palangkaraya_Central_Kalimantan_Kalimantan.html,100000,75000
682,Batik Benang Ratu Heritage,Kota Surakarta,139,Jawa Tengah,Others,5,4.5 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/d9/fc/d3/toko-batik-dengan-nuansa.jpg?w=500&h=400&s=1,110.824405,-7.583274,https://www.tripadvisor.com/Attraction_Review-g297713-d21181327-Reviews-Batik_Benang_Ratu_Heritage-Solo_Central_Java_Java.html,80000,55000
309,Ramayana Ballet at Prambanan,Kabupaten Sleman,87,Daerah Istimewa Yogyakarta,Others,785,4.5 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/9b/5e/bc/sendra-tari-ramayana.jpg?w=500&h=-1&s=1,110.4914674,-7.7520206,https://www.tripadvisor.com/Attraction_Review-g2304080-d7055583-Reviews-Ramayana_Ballet_at_Prambanan-Sleman_Sleman_District_Yogyakarta_Region_Java.html,120000,95000
845,Imperial SkyLounge,Kota Bekasi,114,Jawa Barat,Others,3,4.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/f9/d2/17/photo1jpg.jpg?w=500&h=-1&s=1,106.9914033,-6.2466047,https://www.tripadvisor.com/Attraction_Review-g297705-d11910828-Reviews-Imperial_SkyLounge-Bekasi_West_Java_Java.html,90000,65000
150,Pantai Tanjung Bayang,Kota Makassar,128,Sulawesi Selatan,Beaches,7,3.5 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/a5/5e/0e/di-atas-perahu-yang-sedang.jpg?w=500&h=400&s=1,119.3892559,-5.1835531,https://www.tripadvisor.com/Attraction_Review-g297720-d7347790-Reviews-Pantai_Tanjung_Bayang-Makassar_South_Sulawesi_Sulawesi.html,100000,75000
424,Club House CitraLand Bagya,Kota Medan,131,Sumatera Utara,Beaches,4,5.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/6f/37/7c/club-house-citraland.jpg?w=500&h=400&s=1,98.7256149,3.6062104,https://www.tripadvisor.com/Attraction_Review-g297725-d12439020-Reviews-Club_House_CitraLand_Bagya_City-Medan_North_Sumatra_Sumatra.html,110000,85000
82,Pantai pasir Putih Lhok Me,Aceh Besar,1,Aceh,Beaches,15,4.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/4f/0a/6d/img-20170424-121420-hdr.jpg?w=500&h=-1&s=1,95.5465833,5.6139764,https://www.tripadvisor.com/Attraction_Review-g317109-d10064493-Reviews-Pantai_pasir_Putih_Lhok_Me-Banda_Aceh_Aceh_Sumatra.html,60000,35000
338,Pantai Padang Taplau,Badung,4,Bali,Beaches,220,3.5 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/a5/c2/2a/beach-area-left-side.jpg?w=500&h=400&s=1,115.1037658,-8.8111377,https://www.tripadvisor.com/Attraction_Review-g297726-d4724656-Reviews-Pantai_Padang_Taplau-Padang_West_Sumatra_Sumatra.html,100000,75000
729,Nongsa Beach,Batam,15,Riau Islands,Beaches,14,4.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/2c/63/51/nongsa-beach.jpg?w=500&h=400&s=1,104.0865507,1.1957555,https://www.tripadvisor.com/Attraction_Review-g2543930-d12715938-Reviews-Nongsa_Beach-Nongsa_Batam_Riau_Archipelago_Riau_Islands_Province.html,60000,35000
734,Viovio Beach,Batam,15,Riau Islands,Beaches,24,3.5 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/c5/b2/7b/beach-view.jpg?w=500&h=-1&s=1,104.1904608,0.7494658,https://www.tripadvisor.com/Attraction_Review-g297717-d9582245-Reviews-Viovio_Beach-Batam_Riau_Archipelago_Riau_Islands_Province.html,90000,65000
520,Pantai Pasir Putih Lembeh,Bitung,20,North Sulawesi,Beaches,6,4.5 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/12/67/c5/amazing-beach.jpg?w=500&h=400&s=1,125.2258365,1.4249141,https://www.tripadvisor.com/Attraction_Review-g297721-d10513928-Reviews-Pantai_Pasir_Putih_Lembeh-Manado_North_Sulawesi_Sulawesi.html,120000,95000
1064,Pantai Pasir Putih Lembeh,Bitung,20,North Sulawesi,Beaches,6,4.5 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/12/67/c5/amazing-beach.jpg?w=500&h=400&s=1,125.2258365,1.4249141,https://www.tripadvisor.com/Attraction_Review-g297721-d10513928-Reviews-Pantai_Pasir_Putih_Lembeh-Manado_North_Sulawesi_Sulawesi.html,120000,95000
91,Natsepa Beach,Central Maluku,25,Maluku,Beaches,290,4.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/30/8b/c4/20161003-143342-largejpg.jpg?w=500&h=400&s=1,128.2921198,-3.6215465,https://www.tripadvisor.com/Attraction_Review-g608477-d3400226-Reviews-Natsepa_Beach-Ambon_Maluku_Islands.html,120000,95000
943,Natsepa Beach,Central Maluku,25,Maluku,Beaches,290,4.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/30/8b/c4/20161003-143342-largejpg.jpg?w=500&h=400&s=1,128.2921198,-3.6215465,https://www.tripadvisor.com/Attraction_Review-g608477-d3400226-Reviews-Natsepa_Beach-Ambon_Maluku_Islands.html,100000,75000
951,Liliboi Beach,Central Maluku,25,Maluku,Beaches,7,4.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/2d/3e/1e/batu-berlubang-yang-jadi.jpg?w=500&h=400&s=1,128.015522,-3.7075102,https://www.tripadvisor.com/Attraction_Review-g608477-d10308098-Reviews-Liliboi_Beach-Ambon_Maluku_Islands.html,70000,45000
1008,Sindhu Beach,Denpasar,31,Bali,Beaches,684,4.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/9a/2d/b9/photo0jpg.jpg?w=500&h=-1&s=1,115.2645885,-8.6843724,https://www.tripadvisor.com/Attraction_Review-g297700-d2634209-Reviews-Sindhu_Beach-Sanur_Denpasar_Bali.html,120000,95000
367,Puncak Guha Beach,Garut,33,West Java,Beaches,13,4.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/0c/2d/4d/pantai-puncak-guha.jpg?w=500&h=400&s=1,107.4971417,-7.5362574,https://www.tripadvisor.com/Attraction_Review-g1137840-d6692276-Reviews-Puncak_Guha_Beach-Garut_West_Java_Java.html,110000,85000
379,Sayang Heulang Beach,Garut,33,West Java,Beaches,None,None,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/fb/05/87/pantai-sayangheulang.jpg?w=500&h=400&s=1,107.763621,-7.5012204,https://www.tripadvisor.com/Attraction_Review-g1137840-d8749461-Reviews-Sayang_Heulang_Beach-Garut_West_Java_Java.html,120000,95000
1034,Base-G Beach,Jayapura,43,Papua,Beaches,83,3.5 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/2d/4d/70/base-g.jpg?w=500&h=400&s=1,140.7397204,-2.5174272,https://www.tripadvisor.com/Attraction_Review-g680181-d6538619-Reviews-Base_G_Beach-Jayapura_Papua.html,120000,95000
1037,Harlem Beach,Jayapura,43,Papua,Beaches,36,4.5 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/27/96/cc/jayapura-city.jpg?w=500&h=-1&s=1,140.3671381,-2.4215006,https://www.tripadvisor.com/Attraction_Review-g680181-d3317197-Reviews-Harlem_Beach-Jayapura_Papua.html,80000,55000
898,Goa Cemara Beach,Kabupaten Bantul,53,Daerah Istimewa Yogyakarta,Beaches,45,4.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/52/6a/87/goa-cemara-mendengar.jpg?w=500&h=-1&s=1,110.248963,-7.999423,https://www.tripadvisor.com/Attraction_Review-g2304084-d6974464-Reviews-Goa_Cemara_Beach-Bantul_Yogyakarta_Region_Java.html,110000,85000
